,img_id,x0,y0,x1,y1,text,2020-10-18_2239,2020-10-18_2239_bin,2020-10-15_2308,2020-10-15_2308_bin,lr_test,lr_test_bin,2020-10-18_2239_dist,2020-10-18_2239_bin_dist,2020-10-15_2308_dist,2020-10-15_2308_bin_dist,lr_test_dist,lr_test_bin_dist
89,89,0.8458333333333333,0.900925925925926,0.915625,0.9481481481481482,GVO7390,GAG7aaD,TwE73an,GA7aay,Gar7aEn,GyVO735,GVD7380,5,5,5,5,3,2
90,90,0.6411458333333333,0.4120370370370369,0.6875,0.4435185185185185,HEA2914,EEN,,,PENS,bevy,,6,7,7,6,7,7
91,91,0.026041666666666668,0.8712962962962963,0.09583333333333334,0.9157407407407409,GYA9120,GYA9120,,GYASZ0,vA20,,,0,7,3,4,7,7
92,92,0.5890625,0.387037037037037,0.6296875000000001,0.4148148148148148,HHT4881,,,,,,,7,7,7,7,7,7
93,93,0.7088541666666667,0.4537037037037037,0.7651041666666667,0.487037037037037,GYI0453,EAE,Figs,Bais,Ica,,,7,7,7,6,7,7
94,94,0.7765625,0.8212962962962963,0.8255208333333334,0.8546296296296296,PUQ2567,,,ADar,aIRaT,PIT,LY3,7,7,7,7,6,7
95,95,0.21041666666666667,0.7666666666666667,0.25625,0.7953703703703704,OPJ4900,,NTN,Wy,BT5,3,WI,7,7,7,7,7,7
96,96,0.7729166666666667,0.8314814814814815,0.8265625,0.8703703703703703,HKJ6527,,,,,,,7,7,7,7,7,7
97,97,0.05625,0.8425925925925926,0.12552083333333333,0.8851851851851852,PUV7302,,,,,FUY2302,PUY2302,7,7,7,7,3,2
98,98,0.5734375,0.337037037037037,0.6098958333333334,0.3638888888888889,GTD7914,,,,,,,7,7,7,7,7,7
99,99,0.128125,0.8444444444444444,0.18229166666666666,0.8796296296296297,HFC9865,,,,,,,7,7,7,7,7,7
100,100,0.7979166666666667,0.4916666666666666,0.8656250000000001,0.5351851851851852,HNF5386,,,,,MAES58,MAF5538,7,7,7,7,6,4
101,101,0.55,0.3814814814814815,0.59375,0.4101851851851852,GXY0938,,,,ATT,,4,7,7,7,7,7,7
102,102,0.165625,0.7657407407407407,0.2125,0.7925925925925926,GNR3010,,,a1110,,,21018,7,7,5,7,7,5
103,103,0.8973958333333333,0.8898148148148148,0.965625,0.937962962962963,OQI4957,JDJ4537,JD4957,,,224357,J4357,5,3,7,7,4,4
104,104,0.6911458333333333,0.4185185185185185,0.7541666666666667,0.4611111111111111,GTD7914,,,,,,,7,7,7,7,7,7
105,105,0.8786458333333333,0.9157407407407409,0.9494791666666668,0.9648148148148148,HMP8031,NP83,e203,,,5031,e031,4,5,7,7,4,4
106,106,0.8307291666666666,0.8935185185185185,0.8979166666666666,0.9435185185185184,PUJ0359,,,,,PUI0339,,7,7,7,7,2,7
107,107,0.29739583333333336,0.4120370370370369,0.3505208333333333,0.4444444444444444,PUA0580,,,,,,,7,7,7,7,7,7
108,108,0.6328125,0.4351851851851852,0.696875,0.4777777777777778,HHY1352,,,,,,,7,7,7,7,7,7
109,109,0.840625,0.7777777777777778,0.8859374999999999,0.812962962962963,PVA3005,,,,,,,7,7,7,7,7,7
110,110,0.5791666666666667,0.4009259259259259,0.6239583333333334,0.4296296296296296,HNM2550,,,,,,,7,7,7,7,7,7
111,111,0.05,0.8453703703703703,0.11510416666666667,0.8851851851851852,HIM7206,7235,Es,,,17206,,5,7,7,7,3,7
112,112,0.290625,0.3648148148148148,0.3317708333333333,0.3888888888888889,HYB7332,,,,,,,7,7,7,7,7,7
113,113,0.15260416666666668,0.7722222222222223,0.2015625,0.8,GNR3010,EAR100,,,,jens23,,4,7,7,7,7,7
114,114,0.7291666666666666,0.4564814814814815,0.79375,0.4972222222222222,HJA0019,,,,,,,7,7,7,7,7,7
115,115,0.7515625,0.8546296296296296,0.8078125,0.8944444444444445,OQI5268,,,,,,,7,7,7,7,7,7
116,116,0.6588541666666666,0.4898148148148148,0.7307291666666667,0.537962962962963,OWO6398,,,,,,,7,7,7,7,7,7
117,117,0.29322916666666665,0.3685185185185185,0.33541666666666664,0.39166666666666666,GUJ6361,,,olay,,,,7,7,7,7,7,7
118,118,0.0546875,0.8074074074074075,0.11510416666666667,0.8472222222222223,OQL2317,gL7,Aid7,,id,,,5,6,7,7,7,7
119,119,0.8,0.8305555555555556,0.8572916666666667,0.8731481481481482,GZH5138,,,,,,,7,7,7,7,7,7
120,120,0.14375,0.8074074074074075,0.19583333333333333,0.8416666666666667,OLT3730,,,,writ,,,7,7,7,7,7,7
121,121,0.4723958333333334,0.4157407407407408,0.5229166666666667,0.4453703703703704,HDJ2293,,,,,,,7,7,7,7,7,7
122,122,0.8510416666666667,0.901851851851852,0.9223958333333332,0.9518518518518521,HKR1725,,,,,,,7,7,7,7,7,7
123,123,0.6505208333333333,0.4490740740740741,0.7098958333333333,0.4898148148148148,PUW0031,,,,,,,7,7,7,7,7,7
124,124,0.6166666666666667,0.3824074074074074,0.6583333333333333,0.4101851851851852,GYI0453,,,,,OIG,00an,7,7,7,7,6,6
125,125,0.19114583333333326,0.7777777777777778,0.2421875,0.8092592592592592,HOB2421,,,wlag,EdJe,oJ,Lel,7,7,7,7,7,7
126,126,0.55625,0.3953703703703704,0.6020833333333333,0.4240740740740741,GXY0938,,O77,LIT,CITY,,,7,7,7,7,7,7
127,127,0.7151041666666667,0.4444444444444444,0.7697916666666667,0.4814814814814815,HJR8637,,,,,,,7,7,7,7,7,7
128,128,0.26979166666666665,0.8027777777777778,0.32291666666666663,0.8361111111111111,PVB5510,3e5810,ean3,aggcnJ,aeiygy,ZI,a04y3,4,7,7,7,7,7
129,129,0.16458333333333333,0.7972222222222223,0.21875,0.8333333333333334,HCQ5943,,C3Sr,1,,,,7,6,7,7,7,7
130,130,0.2645833333333333,0.3824074074074074,0.3109375,0.4101851851851852,GUJ6361,ALE,F411KH,GILES,Sileka,SSIES,24300,7,7,6,7,7,6
131,131,0.04791666666666667,0.837037037037037,0.11510416666666667,0.8796296296296297,HOB2421,HOB2421,,HOB242,,N,,0,7,1,7,7,7
132,132,0.7567708333333333,0.799074074074074,0.8046875,0.8324074074074074,HEF7653,MFTOE,,,,,,6,7,7,7,7,7
133,133,0.30625,0.7962962962962963,0.3541666666666667,0.8305555555555555,OWR5292,,,,,,,7,7,7,7,7,7
134,134,0.1296875,0.7824074074074074,0.18229166666666669,0.8166666666666667,GYE1926,,,,,,,7,7,7,7,7,7
135,135,0.5411458333333333,0.3805555555555555,0.5848958333333333,0.4074074074074074,HGP5420,,,,,,,7,7,7,7,7,7
136,136,0.2635416666666667,0.3740740740740741,0.3104166666666667,0.4009259259259259,NXX3959,,,,,oA,,7,7,7,7,7,7
137,137,0.10572916666666668,0.8638888888888889,0.17708333333333331,0.9157407407407409,OWR5292,,,,,,,7,7,7,7,7,7
138,138,0.7630208333333334,0.8074074074074075,0.8088541666666667,0.8388888888888889,NYE7173,IL173,ALF113,NL7,JULJV,Are211,,4,5,5,7,6,7
139,139,0.12135416666666668,0.4462962962962963,0.19114583333333332,0.4888888888888889,ERK0196,,,,,,,7,7,7,7,7,7
140,140,0.8619791666666666,0.8166666666666667,0.9114583333333331,0.8537037037037036,OWZ5208,Ob23g,,Ob3yg,0op,,,5,7,6,7,7,7
141,141,0.8098958333333334,0.8546296296296296,0.8718750000000001,0.901851851851852,HLC2352,W255,,W253,,WL2062,WE252,5,7,5,7,4,4
142,142,0.659375,0.5037037037037037,0.721875,0.5398148148148147,HKR7647,,,,HR,,IRRTees,7,7,7,5,7,6
143,143,0.3416666666666667,0.3814814814814815,0.3875,0.4092592592592593,HBY6045,,,,,,,7,7,7,7,7,7
144,144,0.12864583333333332,0.8842592592592593,0.20520833333333333,0.9333333333333332,PUA2591,PUAJ89,PUY2631,,pdE31,PUA264,Pda263,3,3,7,6,3,5
145,145,0.09739583333333332,0.799074074074074,0.153125,0.8416666666666667,HLX8324,,Shre,,,,,7,7,7,7,7,7
146,146,0.1421875,0.7722222222222223,0.19114583333333326,0.8018518518518519,GNR3010,of,hv1,a8110,Lpeae,,128311,7,6,5,7,7,5
147,147,0.2046875,0.3861111111111111,0.2578125,0.4203703703703704,HDK1927,,,,,,,7,7,7,7,7,7
148,148,0.6494791666666667,0.4092592592592593,0.696875,0.4398148148148148,GYI0453,,aEn,,,,,7,7,7,7,7,7
149,149,0.8880208333333334,0.825,0.9354166666666668,0.8574074074074074,HHM8979,B,orGm,op,pam,Gm,pam,7,7,7,7,7,7
150,150,0.061979166666666675,0.7925925925925926,0.128125,0.8314814814814815,HIJ7018,FTEs,FTI,,,,,7,7,7,7,7,7
151,151,0.5885416666666666,0.3694444444444445,0.6463541666666667,0.4046296296296297,HJF7487,,LFYaay,,,33,aTes,7,6,7,7,7,7
152,152,0.1609375,0.7935185185185185,0.21458333333333332,0.8296296296296296,HJR7223,,,,473,,,7,7,7,5,7,7
153,153,0.2322916666666667,0.7592592592592593,0.27395833333333336,0.7842592592592593,HIE4016,,,,251d,,,7,7,7,6,7,7
154,154,0.7848958333333333,0.8166666666666667,0.8385416666666666,0.8574074074074074,HMZ1237,,,,,,,7,7,7,7,7,7
155,155,0.20572916666666666,0.4212962962962963,0.25729166666666664,0.4527777777777778,HCG2567,,,,,,,7,7,7,7,7,7
156,156,0.6338541666666667,0.4240740740740741,0.6786458333333334,0.4564814814814814,HLX6972,,,,,,,7,7,7,7,7,7
157,157,0.2880208333333333,0.3675925925925926,0.32864583333333336,0.39166666666666666,HMA6010,,,,,,,7,7,7,7,7,7
158,158,0.6276041666666666,0.3972222222222222,0.684375,0.4342592592592592,HIO8727,,,,,,,7,7,7,7,7,7
159,159,0.7234375,0.8064814814814815,0.7760416666666666,0.8481481481481481,HKF8570,,,,,,,7,7,7,7,7,7
160,160,0.5776041666666667,0.4055555555555556,0.6286458333333333,0.4379629629629629,HGF6953,,,,,,,7,7,7,7,7,7
161,161,0.04791666666666667,0.8444444444444444,0.11770833333333333,0.8833333333333333,HBZ5559,,,,,,,7,7,7,7,7,7
162,162,0.0640625,0.7462962962962963,0.10625,0.7712962962962964,EQI8021,,,ea,,,oo,7,7,7,7,7,7
163,163,0.534375,0.4092592592592593,0.5854166666666667,0.4398148148148148,OQP0388,,,,,e3ye,1155s,7,7,7,7,6,7
164,164,0.2140625,0.4314814814814815,0.2770833333333333,0.475,OWH1206,,,,,,,7,7,7,7,7,7
165,165,0.8338541666666667,0.899074074074074,0.9083333333333332,0.9518518518518518,HOK0049,HOKOlds,HOK4s,HOKT0l4s,HOK04g,WOK0043,HOW14s,4,3,3,2,2,4
166,166,0.2989583333333333,0.3842592592592592,0.34635416666666663,0.4138888888888889,HMY0945,,,,,Yet,,7,7,7,7,6,7
167,167,0.2609375,0.3925925925925926,0.30572916666666666,0.4194444444444445,HCG2567,,,,,,,7,7,7,7,7,7
168,168,0.396875,0.3416666666666667,0.4333333333333333,0.3675925925925926,HHJ9632,,,,,,,7,7,7,7,7,7
169,169,0.2927083333333333,0.7351851851851852,0.3328125,0.7601851851851852,HLY8517,,,,51CTY,,,7,7,7,7,7,7
170,170,0.7802083333333333,0.8731481481481481,0.8447916666666666,0.9203703703703704,HNU4577,NTR,unTTEy,Tar,HATry,Hae,wip,6,7,7,6,6,7
171,171,0.8828125,0.9111111111111112,0.9588541666666668,0.9675925925925926,GSK0170,0174,,,,,Lie,4,7,7,7,7,7
172,172,0.7583333333333333,0.5111111111111111,0.81875,0.5527777777777777,HLX6972,,,,,,,7,7,7,7,7,7
173,173,0.6354166666666666,0.3648148148148148,0.6729166666666666,0.3907407407407407,HHW1986,,,,,,,7,7,7,7,7,7
174,174,0.5760416666666667,0.3462962962962963,0.6161458333333334,0.3731481481481481,GTD7914,,XE,,,,,7,7,7,7,7,7
175,175,0.16041666666666668,0.7851851851851852,0.21197916666666666,0.8194444444444444,OQP1077,arn,,,,,,7,7,7,7,7,7
176,176,0.7604166666666666,0.4861111111111111,0.8239583333333333,0.5240740740740739,HHT4881,,,,,,,7,7,7,7,7,7
177,177,0.14947916666666666,0.7777777777777778,0.2015625,0.8166666666666667,GYE1926,,,,,,,7,7,7,7,7,7
178,178,0.35,0.3675925925925926,0.3921875,0.3972222222222222,HHJ9632,,,,,,,7,7,7,7,7,7
179,179,0.8348958333333333,0.8472222222222222,0.8932291666666666,0.8861111111111111,OYE5311,,,,,,,7,7,7,7,7,7
180,180,0.6026041666666667,0.3962962962962963,0.6468750000000001,0.4212962962962963,OQB9377,,,,,,,7,7,7,7,7,7
181,181,0.6729166666666667,0.4574074074074074,0.734375,0.4972222222222222,PUJ3051,,,,,on505k,,7,7,7,7,5,7
182,182,0.8104166666666667,0.8601851851851852,0.8739583333333334,0.9064814814814814,GVT1774,UTI,UTiy,CUTVim,SUT,,,6,6,6,6,7,7
183,183,0.5557291666666667,0.4398148148148148,0.6125,0.4740740740740741,PUL2322,MCE,tea,ran,,,TT,7,7,7,7,7,7
184,184,0.9041666666666668,0.8870370370370371,0.9703125,0.937962962962963,HFS7335,NIE,oO,,,NOriligsy,KYvig3,7,7,7,7,9,6
185,185,0.0984375,0.7833333333333333,0.15052083333333333,0.8175925925925925,OLW2674,,,,,,,7,7,7,7,7,7
186,186,0.8526041666666667,0.9111111111111112,0.9213541666666668,0.9583333333333331,GOS3297,GO5EEay,oO5SAa7,,C0S33a,6053237,053397,5,5,7,5,4,4
187,187,0.16510416666666666,0.7138888888888889,0.20729166666666665,0.7416666666666667,OQL5979,,,,,aon,,7,7,7,7,7,7
188,188,0.07395833333333332,0.8685185185185185,0.146875,0.9129629629629628,OLT3897,072287,012297,0LY2287,013297,o12397,072387,5,5,5,4,4,4
189,189,0.5760416666666667,0.3638888888888889,0.615625,0.3907407407407407,PUJ3051,,,,,,,7,7,7,7,7,7
190,190,0.8041666666666667,0.8416666666666667,0.8625,0.8814814814814815,HOB2421,,,,,,,7,7,7,7,7,7
191,191,0.684375,0.4425925925925926,0.7427083333333333,0.4814814814814815,NXZ8855,NZOES,oIfI5ES,,,,,5,7,7,7,7,7
192,192,0.6635416666666667,0.4546296296296296,0.7151041666666667,0.4888888888888889,HLX6972,,,,,,,7,7,7,7,7,7
193,193,0.8447916666666667,0.7935185185185185,0.890625,0.825,OWZ5208,EEEXE,ERSEMO,UeIE,LESUg,LeAng,teeNy,7,7,7,7,7,7
194,194,0.621875,0.4009259259259259,0.6682291666666667,0.4314814814814815,MSF0653,,,,,,,7,7,7,7,7,7
195,195,0.7682291666666666,0.8444444444444444,0.8286458333333333,0.8851851851851852,OLX3155,,,,,,,7,7,7,7,7,7
196,196,0.4885416666666666,0.3759259259259259,0.5296875,0.4027777777777778,HLB9110,,INTE,,,,AY,7,7,7,7,7,7
197,197,0.2140625,0.7768518518518519,0.2625,0.8064814814814816,OQZ3274,,,,,040Ye,,7,7,7,7,7,7
198,198,0.8526041666666667,0.899074074074074,0.9244791666666669,0.9518518518518518,GQA1936,,,,,,,7,7,7,7,7,7
199,199,0.29375,0.8138888888888889,0.3494791666666667,0.862037037037037,GSW2909,,,,,2,,7,7,7,7,6,7
200,200,0.03020833333333333,0.8481481481481481,0.1,0.8898148148148147,HGR1955,CA1935,,1855,oF185S,ooh33s,aCR1555,4,7,4,5,7,3
201,201,0.5765625,0.3787037037037037,0.61875,0.4064814814814815,HEF8302,,GardB,,,,,7,7,7,7,7,7
